person_id	sex	first_name	last_name	year_of_birth	year_of_death	living_region	societal_rank	societal_rank_of_father	religion	level_of_education	letters_sent	letters_received
10LADIES	Female					Court					1	0
A1BACON	Female	ANNE I	BACON N. COOKE	1528	1610	Home counties	Gentry (upper)	Gentry (upper)	Protestant	Higher	1	4
A1HATTON	Female	Alice	Hatton				Gentry (lower)				3	0
A1MONTAGUE	Female	ANNE SR	MONTAGUE	1628	1698	Other	Nobility	Gentry (upper)			5	0
A2BACON	Female	Anne	Bacon née Butts	1547	1616	East Anglia	Gentry (upper)	Gentry (lower)			7	1
A2GAWDY	Female	Anne	Gawdy née Framlingham		1594	East Anglia	Gentry (lower)	Gentry (upper)			0	3
A2HATTON	Female	Alice 2	Hatton				Gentry (upper)	Nobility			3	0
A2MONTAGUE	Female	ANNE JR	MONTAGUE			Other	Nobility	Nobility			1	0
A3BACON	Female	ANNE	BACON			East Anglia	Gentry (lower)	Gentry (upper)	Anglican		11	0
AABBOT	Female	Ann	Abbott			North	Gentry (lower)				2	0
AAHANOVER	Female	Augusta Sophia	Hanover	1768	1840	Court	Royalty	Royalty		Private	18	0
AALINGTON	Female	ALICE	ALINGTON			London	Gentry (upper)	Merchant	Catholic	Higher	1	0
AANTONIE	Male	ANTHONY	ANTONY			London	Gentry (lower)				51	0
ABANKS	Female	Anne	Banks née Hodgkinson		1730		Gentry (lower)	Merchant			1	0
ABARKER	Male	Anthony	Barker			Abroad	Professional			Higher	0	1
ABARTON	Male	Andrew	Barton				Gentry (lower)				0	1
ABASSET	Female	Anne	Basset	1521	1557		Gentry (upper)	Gentry (upper)			0	1
ABASYNGTHW	Male	Alexander	Basyngthwayte		1493	London	Other				1	0
ABATHURST	Male	Allen	Bathurst	1684	1775	Other	Nobility	Gentry (upper)		Higher	27	5
ABAXTER	Male	Anthony T.	Baxter			London	Merchant				0	2
ABOLEYN	Female	Anne	Boleyn	1500	1536	Court	Royalty	Nobility		Higher	2	8
ABOWES	Female	Anne	Bowes			North	Gentry (lower)				1	0
ABYERLEY	Male	Anthony	Byerley	1619	1667	North	Gentry (lower)	Gentry (lower)		Higher	1	0
ACAPEL	Male	ARTHUR	CAPEL	1631	1683	Court	Nobility	Nobility			26	17
ACAREW	Male	Adrian	Carew			North	Professional				1	0
ACAREY	Male	ANTHONY	CAREY	1656	1694	London	Nobility	Nobility			1	0
ACARLETON	Female	Alice	Carleton				Gentry (lower)	Gentry (lower)			0	10
ACARR	Female	Anna	Carr		1640		Gentry (upper)	Gentry (upper)			1	0
ACARY	Female	Anne	Cary	1614	1671	Abroad	Clergy (lower)	Nobility	Catholic		2	0
ACHAMBRE	Female	ALIANOR	CHAMBRE/CHAMBERS				Gentry (lower)				1	0
ACHARLETT	Male	Arthur	Charlett	1655	1722	Other	Professional	Clergy (lower)		Higher	0	10
ACLARK	Female	Ann	Clark			Home counties	Other				1	0
ACLAVERING	Female	Ann	Clavering	1686	1734	London	Gentry (lower)	Gentry (lower)			60	0
ACLIFTON	Female	ANNE	CLIFTON N. CLIFFORD			North	Gentry (lower)	Nobility			1	0
ACOLINGWOOD	Female	ALICE	COLLINGWOOD			North	Gentry (lower)		Catholic		1	0
ACOLLETT	Female	ANNA	COLLETT	1603	1638	Other	Gentry (lower)	Gentry (lower)			3	3
ACONWAY	Female	ANNE	CONWAY N. FINCH	1631	1679	Other	Nobility	Gentry (upper)		Higher	29	45
ACONYERS	Female	ANNE	CONYERS N. DACRE			North	Nobility	Nobility			1	0
ACRANE	Female	ALICE	CRANE				Gentry (lower)				1	0
ACREDITOR		A	Creditor of Col. Mark Milbanke				Gentry (upper)				0	1
ADELAPOLE	Female	Alice	de la Pole née Chaucer	1404	1475	Other	Nobility	Gentry (lower)			1	0
ADENTON	Male	Adam	Denton			Abroad	Merchant				0	5
ADHANOVER	Male	Adolphus Frederick	Hanover	1774	1850	Court	Royalty	Royalty		Higher	23	0
ADODINGTON	Male	Arthur	Dodington				Gentry (lower)				0	1
ADRURY	Female	Anne	Drury née Bacon	1572	1624	East Anglia	Gentry (upper)	Gentry (upper)	Protestant		0	1
ADUDLEY	Male	AMBROSE	DUDLEY	1528	1590	Court	Nobility	Nobility	Protestant	Higher	1	3
AFERRAR	Female	ANNE	FERRAR N. BROOK		1702	Other	Gentry (lower)	Gentry (upper)	Anglican		1	2
AFINCH	Female	Anne	Finch née Hatton	1667	1743	Other	Nobility	Nobility			5	0
AFITZHERBERT	Male	ANTHONY	FITZHERBERT	1470	1538	Other	Gentry (upper)	Gentry (lower)		Higher	1	0
AFITZHUGH	Female	ALICE	FITZHUGH				Nobility	Nobility			1	0
AFLEMING	Female	ALICE	FLEMING		1680	North	Gentry (lower)	Gentry (lower)			1	1
AGARNER	Female	Ann	Garner				Other				1	0
AGAWDY	Female	Anne	Gawdy née Repps née Woodhouse née Wootton		1587	East Anglia	Gentry (upper)	Gentry (lower)			0	6
AGILBY	Male	Anthony	Gilby				Clergy (lower)				0	1
AGOODENOUGH	Female	Anne	Goodenough née Addington	1747	1806		Professional	Professional			0	1
AGRESHAM	Female	ANNE	GRESHAM N. FERNELEY		1596	Home counties	Gentry (upper)	Gentry (lower)			2	7
AGROVE	Female	Alicia	Bentham née Whitehorn née Grove		1759	London	Professional	Merchant			1	2
AHALES	Female	Ann	Hales	1707		Other	Merchant	Gentry (upper)			5	0
AHANOVER	Male	Augustus Frederick	Hanover	1773	1843	Court	Royalty	Royalty		Higher	24	7
AHATTON	Female	ALICE	HATTON N. FANSHAW		1623	Other	Gentry (upper)	Gentry (lower)			1	1
AHEVENINGHAM	Male	Arthur	Heveningham	1546	1630	East Anglia	Gentry (upper)	Gentry (upper)			2	1
AHEYDON	Female	Anne	Heydon				Gentry (upper)				0	1
AHFITZROY	Male	Augustus Henry	Fitzroy	1735	1811	London	Nobility	Nobility		Higher	0	2
AHOLDSWORTH	Male	Arthur Howe	Holdsworth		1787	Other	Gentry (lower)	Professional			0	1
AHOLLES	Female	Ann	Holles née Stanhope	1576	1651	Other	Nobility	Gentry (upper)			0	14
AHOLROYD	Female	Abigail	Holroyd née Way	1746	1793	Other	Nobility				0	10
AHROWAN	Male	Archibald Hamilton	Rowan	1751	1834	Abroad	Gentry (lower)	Gentry (lower)		Higher	0	3
AINGRAM	Male	ARTHUR	INGRAM	1565	1642	North	Gentry (upper)	Merchant	Protestant		6	6
AJUDDE	Male	ANDREW	JUDDE		1558	London	Gentry (upper)				1	0
ALANGLEY	Male						Clergy (lower)				2	0
ALANGWORTH	Male	ARTHUR	LANGWORTH		1606	Other	Other				1	0
ALDRED	Male		Aldred				Other				0	1
ALESTRANG	Female	Alice	L'Estrange née Stubbe	1585	1656	East Anglia	Gentry (upper)				0	1
ALFITZHERBERT	Female	ALICE	FITZHERBERT			Other	Clergy (lower)	Gentry (lower)			1	0
